County Name	Absentee Applications	Ballots Reported Sent	Ballots Reported Returned	Ballots Returned 2016	Difference
ADAMS COUNTY	3012	2710	909	1452	-37%
ASHLAND COUNTY	2907	2872	1314	1034	27%
BARRON COUNTY	6797	6623	2283	3453	-34%
BAYFIELD COUNTY	4019	3786	1510	1152	31%
BROWN COUNTY	61835	61077	23816	41885	-43%
BUFFALO COUNTY	1468	1383	375	599	-37%
BURNETT COUNTY	2580	2339	809	981	-18%
CALUMET COUNTY	10873	10727	2825	5403	-48%
CHIPPEWA COUNTY	10592	10434	3622	6640	-45%
CLARK COUNTY	2753	2479	778	864	-10%
COLUMBIA COUNTY	10673	10532	4272	6058	-29%
CRAWFORD COUNTY	2384	2308	736	942	-22%
DANE COUNTY	186143	184814	81080	126385	-36%
DODGE COUNTY	12311	12160	4210	6461	-35%
DOOR COUNTY	7761	7613	3028	4189	-28%
DOUGLAS COUNTY	8399	8302	3920	4853	-19%
DUNN COUNTY	6461	6377	2174	2868	-24%
EAU CLAIRE COUNTY	19078	18863	7391	13712	-46%
FLORENCE COUNTY	907	855	320	304	5%
FOND DU LAC COUNTY	17341	16457	6103	10097	-40%
FOREST COUNTY	1463	1409	372	522	-29%
GRANT COUNTY	7259	6940	2301	3518	-35%
GREEN COUNTY	6453	6344	2630	3144	-16%
GREEN LAKE COUNTY	2672	2586	949	1138	-17%
IOWA COUNTY	4821	4780	1853	2483	-25%
IRON COUNTY	1528	1485	529	568	-7%
JACKSON COUNTY	2074	2054	561	757	-26%
JEFFERSON COUNTY	15139	14722	4181	10012	-58%
JUNEAU COUNTY	2856	2644	739	1492	-50%
KENOSHA COUNTY	31330	31098	9778	28039	-65%
KEWAUNEE COUNTY	3401	3383	1304	1424	-8%
LA CROSSE COUNTY	25952	25785	10628	21886	-51%
LAFAYETTE COUNTY	2113	2010	752	621	21%
LANGLADE COUNTY	2572	2356	839	1114	-25%
LINCOLN COUNTY	4585	3496	1188	1743	-32%
MANITOWOC COUNTY	13035	12930	5645	8282	-32%
MARATHON COUNTY	25504	25092	8963	16798	-47%
MARINETTE COUNTY	6558	6473	2547	3617	-30%
MARQUETTE COUNTY	2355	2161	793	908	-13%
MENOMINEE COUNTY	391	375	155	158	-2%
MILWAUKEE COUNTY	211371	209986	63000	130380	-52%
MONROE COUNTY	5446	5339	1878	3214	-42%
OCONTO COUNTY	6709	6535	2427	3048	-20%
ONEIDA COUNTY	8720	8443	3110	3381	-8%
OUTAGAMIE COUNTY	41601	41372	12000	34996	-66%
OZAUKEE COUNTY	23921	23787	9072	20983	-57%
PEPIN COUNTY	1094	1026	202	288	-30%
PIERCE COUNTY	6924	6854	2139	3975	-46%
POLK COUNTY	6209	5955	1677	2281	-26%
PORTAGE COUNTY	14424	14350	6060	12337	-51%
PRICE COUNTY	2380	2208	650	881	-26%
RACINE COUNTY	36527	36293	10299	33360	-69%
RICHLAND COUNTY	2585	2240	731	781	-6%
ROCK COUNTY	31077	30805	12233	19009	-36%
RUSK COUNTY	1794	1718	446	524	-15%
ST. CROIX COUNTY	19021	18843	6667	11242	-41%
SAUK COUNTY	12696	12393	5226	6520	-20%
SAWYER COUNTY	3484	3354	1361	1706	-20%
SHAWANO COUNTY	5579	5330	1940	2868	-32%
SHEBOYGAN COUNTY	20529	20350	8073	13641	-41%
TAYLOR COUNTY	2350	2081	773	1057	-27%
TREMPEALEAU COUNTY	2888	2543	811	1316	-38%
VERNON COUNTY	4304	3217	514	1517	-66%
VILAS COUNTY	5607	5447	2058	2975	-31%
WALWORTH COUNTY	17870	17737	6067	13091	-54%
WASHBURN COUNTY	2981	2822	1083	1154	-6%
WASHINGTON COUNTY	28499	27973	9585	25431	-62%
WAUKESHA COUNTY	104125	103281	36182	90305	-60%
WAUPACA COUNTY	7882	7820	2917	4160	-30%
WAUSHARA COUNTY	3500	3456	1278	1274	0%
WINNEBAGO COUNTY	36067	35758	13856	27929	-50%
WOOD COUNTY	12392	12208	5038	7583	-34%
TOTAL	1230911	1212358	437535	830763	53%
